Coord_x (m);Coord_y (m);Punto de Vigilancia;Camara Gran Angular;Camara Angulo Estrecho;Sensor Volumetrico;Detector sismico;Detector humo
0.0;250.0;1.0;0.0;0.0;0.0;0.0;0.0
0.0;260.0;1.0;0.0;0.0;0.0;0.0;0.0
0.0;270.0;1.0;0.0;0.0;0.0;0.0;0.0
0.0;280.0;1.0;0.0;0.0;0.0;0.0;0.0
0.0;290.0;1.0;0.0;0.0;0.0;0.0;0.0
0.0;300.0;1.0;0.0;0.0;0.0;1.0;0.0
0.0;310.0;1.0;0.0;1.0;1.0;0.0;0.0
0.0;320.0;1.0;0.0;0.0;0.0;0.0;0.0
0.0;330.0;1.0;0.0;0.0;0.0;0.0;0.0
0.0;340.0;1.0;0.0;0.0;0.0;0.0;0.0
0.0;350.0;1.0;0.0;0.0;0.0;0.0;0.0
0.0;360.0;1.0;0.0;0.0;0.0;0.0;0.0
0.0;370.0;1.0;0.0;0.0;0.0;0.0;0.0
0.0;380.0;1.0;0.0;0.0;0.0;0.0;0.0
0.0;390.0;1.0;0.0;0.0;0.0;0.0;0.0
0.0;400.0;1.0;0.0;0.0;0.0;0.0;0.0
0.0;410.0;1.0;0.0;0.0;0.0;0.0;0.0
0.0;420.0;1.0;0.0;0.0;0.0;0.0;0.0
0.0;430.0;1.0;0.0;0.0;0.0;0.0;0.0
0.0;440.0;1.0;0.0;0.0;0.0;0.0;0.0
0.0;450.0;1.0;0.0;0.0;0.0;0.0;0.0
0.0;460.0;1.0;0.0;0.0;0.0;1.0;0.0
0.0;470.0;1.0;0.0;0.0;1.0;0.0;0.0
0.0;480.0;1.0;1.0;0.0;0.0;0.0;0.0
0.0;490.0;1.0;0.0;0.0;1.0;0.0;0.0
10.0;250.0;1.0;0.0;0.0;0.0;0.0;0.0
10.0;260.0;0.0;1.0;1.0;0.0;1.0;0.0
10.0;270.0;0.0;1.0;1.0;0.0;0.0;0.0
10.0;280.0;0.0;0.0;0.0;0.0;1.0;0.0
10.0;290.0;0.0;0.0;0.0;0.0;0.0;1.0
10.0;300.0;0.0;0.0;0.0;0.0;0.0;0.0
10.0;310.0;0.0;0.0;1.0;0.0;0.0;0.0
10.0;320.0;0.0;1.0;0.0;0.0;0.0;0.0
10.0;330.0;0.0;0.0;0.0;1.0;0.0;0.0
10.0;340.0;0.0;0.0;0.0;0.0;0.0;0.0
10.0;350.0;0.0;0.0;0.0;0.0;0.0;0.0
10.0;360.0;0.0;1.0;1.0;0.0;0.0;0.0
10.0;370.0;1.0;1.0;0.0;1.0;1.0;1.0
10.0;380.0;0.0;1.0;0.0;0.0;1.0;0.0
10.0;390.0;0.0;0.0;0.0;0.0;0.0;0.0
10.0;400.0;0.0;0.0;0.0;0.0;0.0;0.0
10.0;410.0;0.0;1.0;0.0;1.0;1.0;1.0
10.0;420.0;0.0;0.0;0.0;1.0;0.0;0.0
10.0;430.0;0.0;1.0;0.0;0.0;0.0;1.0
10.0;440.0;0.0;1.0;0.0;0.0;0.0;0.0
10.0;450.0;0.0;0.0;0.0;0.0;0.0;1.0
10.0;460.0;0.0;1.0;0.0;0.0;0.0;0.0
10.0;470.0;0.0;0.0;0.0;0.0;0.0;0.0
10.0;480.0;0.0;0.0;0.0;0.0;0.0;0.0
10.0;490.0;1.0;0.0;0.0;0.0;1.0;0.0
20.0;250.0;1.0;0.0;0.0;0.0;0.0;1.0
20.0;260.0;0.0;0.0;0.0;0.0;0.0;0.0
20.0;270.0;0.0;0.0;1.0;1.0;1.0;1.0
20.0;280.0;0.0;0.0;0.0;0.0;0.0;0.0
20.0;290.0;0.0;0.0;0.0;0.0;0.0;0.0
20.0;300.0;0.0;0.0;0.0;0.0;0.0;0.0
20.0;310.0;0.0;0.0;0.0;0.0;0.0;0.0
20.0;320.0;0.0;0.0;0.0;0.0;0.0;0.0
20.0;330.0;0.0;0.0;0.0;0.0;0.0;0.0
20.0;340.0;0.0;1.0;1.0;1.0;1.0;0.0
20.0;350.0;0.0;0.0;0.0;0.0;0.0;0.0
20.0;360.0;0.0;0.0;0.0;0.0;0.0;0.0
20.0;370.0;1.0;1.0;0.0;1.0;0.0;0.0
20.0;380.0;0.0;0.0;1.0;1.0;1.0;0.0
20.0;390.0;0.0;0.0;0.0;0.0;0.0;0.0
20.0;400.0;0.0;0.0;0.0;0.0;1.0;0.0
20.0;410.0;0.0;0.0;0.0;0.0;0.0;0.0
20.0;420.0;0.0;0.0;1.0;0.0;0.0;0.0
20.0;430.0;0.0;0.0;0.0;0.0;0.0;0.0
20.0;440.0;0.0;1.0;0.0;0.0;0.0;0.0
20.0;450.0;0.0;0.0;0.0;0.0;0.0;0.0
20.0;460.0;0.0;0.0;1.0;0.0;0.0;0.0
20.0;470.0;0.0;0.0;0.0;0.0;0.0;0.0
20.0;480.0;0.0;0.0;0.0;0.0;0.0;0.0
20.0;490.0;1.0;1.0;1.0;0.0;1.0;1.0
30.0;250.0;1.0;0.0;0.0;1.0;1.0;0.0
30.0;260.0;0.0;0.0;0.0;0.0;0.0;0.0
30.0;270.0;0.0;0.0;0.0;0.0;0.0;0.0
30.0;280.0;0.0;0.0;0.0;0.0;0.0;0.0
30.0;290.0;0.0;0.0;0.0;0.0;0.0;0.0
30.0;300.0;0.0;0.0;0.0;0.0;0.0;0.0
30.0;310.0;0.0;0.0;0.0;0.0;0.0;0.0
30.0;320.0;0.0;0.0;0.0;0.0;0.0;0.0
30.0;330.0;0.0;1.0;0.0;0.0;1.0;0.0
30.0;340.0;0.0;1.0;0.0;0.0;0.0;0.0
30.0;350.0;0.0;0.0;0.0;0.0;0.0;0.0
30.0;360.0;0.0;0.0;0.0;1.0;0.0;0.0
30.0;370.0;1.0;0.0;0.0;0.0;0.0;0.0
30.0;380.0;0.0;0.0;0.0;1.0;1.0;0.0
30.0;390.0;0.0;0.0;0.0;0.0;1.0;0.0
30.0;400.0;0.0;1.0;0.0;1.0;0.0;0.0
30.0;410.0;0.0;1.0;1.0;1.0;0.0;1.0
30.0;420.0;0.0;1.0;0.0;0.0;0.0;0.0
30.0;430.0;0.0;0.0;0.0;1.0;0.0;0.0
30.0;440.0;0.0;0.0;0.0;0.0;0.0;0.0
30.0;450.0;0.0;0.0;1.0;0.0;0.0;1.0
30.0;460.0;0.0;0.0;1.0;0.0;1.0;0.0
30.0;470.0;0.0;0.0;0.0;1.0;0.0;0.0
